Species Name,Formula,Image,¦¤fH¡ã(0K),delta_H(298.15K),Uncertainty,Units,Molecular ,,(Molecular,mass)
Acetaldehyde,CH3CHO (g),,-155.16,-165.64,¡À 0.26,kJ/mol,44.0526 ¡À,,44.0526 ¡À,0.0017
,,,,,,,0.0017,,,
Hydrogen peroxide,H2O2 (g),,-129.48,-135.466,¡À 0.063,kJ/mol,34.01468 ¡À,,34.01468 ¡À,0.00062
,,,,,,,0.00062,,,
Bromomethane,CH3Br (g),,-20.88,-36.28,¡À 0.18,kJ/mol,94.9385 ¡À,,94.9385 ¡À,0.0013
,,,,,,,0.0013,,,
n-Butane,CH3CH2CH2CH3 (g),,-98.47,-125.78,¡À 0.26,kJ/mol,58.1222 ¡À,,58.1222 ¡À,0.0033
,,,,,,,0.0033,,,
Benzene,C6H6 (g),,100.62,83.1,¡À 0.23,kJ/mol,78.1118 ¡À,,78.1118 ¡À,0.0048
,,,,,,,0.0048,,,
Methylene,"CH2 (g, singlet)",,428.73,429.14,¡À 0.11,kJ/mol,14.02658 ¡À,,14.02658 ¡À,0.00081
,,,,,,,0.00081,,,
Hypochlorous acid,HOCl (g),,-73.869,-76.809,¡À 0.027,kJ/mol,52.46004 ¡À,,52.46004 ¡À,0.00095
,,,,,,,0.00095,,,
Propyne,CH3CCH (g),,192.79,185.73,¡À 0.24,kJ/mol,40.0639 ¡À,,40.0639 ¡À,0.0024
,,,,,,,0.0024,,,
Formic acid,"HC(O)OH (g, syn)",,-371.1,-378.42,¡À 0.22,kJ/mol,46.0254 ¡À,,46.0254 ¡À,0.001
,,,,,,,0.001,,,
Dibromine,Br2 (g),,45.67,30.88,¡À 0.11,kJ/mol,159.8080 ¡À,,159.8080 ¡À,0.002
,,,,,,,0.002,,,
Methylene,"CH2 (g, triplet)",,391.068,391.625,¡À 0.098,kJ/mol,14.02658 ¡À,,14.02658 ¡À,0.00081
,,,,,,,0.00081,,,
Fluoride,F- (g),,-250.91,-249.125,¡À 0.048,kJ/mol,18.99895178 ¡À,,18.99895178 ¡À,0.0000005
,,,,,,,0.0000005,,,
Ketene,CH2CO (g),,-45.34,-48.46,¡À 0.12,kJ/mol,42.0367 ¡À,,42.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Tetrachloromethane,CCl4 (g),,-93.48,-95.65,¡À 0.44,kJ/mol,153.8215 ¡À,,153.8215 ¡À,0.0037
,,,,,,,0.0037,,,
Chloroethane,CH3CH2Cl (g),,-96.89,-111.48,¡À 0.26,kJ/mol,64.5138 ¡À,,64.5138 ¡À,0.0019
,,,,,,,0.0019,,,
Tetrafluoromethane,CF4 (g),,-927.45,-933.42,¡À 0.25,kJ/mol,88.00431 ¡À,,88.00431 ¡À,0.0008
,,,,,,,0.0008,,,
Methylidyne,CH (g),,592.825,596.159,¡À 0.099,kJ/mol,13.01864 ¡À,,13.01864 ¡À,0.0008
,,,,,,,0.0008,,,
Diiodine,I2 (g),,65.497,62.417,¡À 0.0041,kJ/mol,253.808940 ¡À,,253.808940 ¡À,0.00006
,,,,,,,0.00006,,,
Toluene,C6H5CH3 (g),,73.29,50.01,¡À 0.34,kJ/mol,92.1384 ¡À,,92.1384 ¡À,0.0056
,,,,,,,0.0056,,,
Fluoroform,CHF3 (g),,-688.92,-695.87,¡À 0.43,kJ/mol,70.01385 ¡À,,70.01385 ¡À,0.0008
,,,,,,,0.0008,,,
Ozone,OOO (g),,144.397,141.734,¡À 0.039,kJ/mol,47.99820 ¡À,,47.99820 ¡À,0.0009
,,,,,,,0.0009,,,
Trifluoromethyl,CF3 (g),,-465.08,-467.88,¡À 0.49,kJ/mol,69.00591 ¡À,,69.00591 ¡À,0.0008
,,,,,,,0.0008,,,
Ethylium,[CH3CH2]+ (g),,914.84,902.76,¡À 0.31,kJ/mol,29.0606 ¡À,,29.0606 ¡À,0.0016
,,,,,,,0.0016,,,
Acetone,CH3C(O)CH3 (g),,-200.21,-216.9,¡À 0.38,kJ/mol,58.0791 ¡À,,58.0791 ¡À,0.0025
,,,,,,,0.0025,,,
Phenol,C6H5OH (g),,-74.66,-93.26,¡À 0.64,kJ/mol,94.1112 ¡À,,94.1112 ¡À,0.0048
,,,,,,,0.0048,,,
Oxonium,[H3O]+ (g),,605.83,599.08,¡À 0.17,kJ/mol,19.02267 ¡À,,19.02267 ¡À,0.00037
,,,,,,,0.00037,,,
Chloride,Cl- (g),,-228.953,-227.346,¡À 0.0021,kJ/mol,35.45325 ¡À,,35.45325 ¡À,0.0009
,,,,,,,0.0009,,,
Bromide,Br- (g),,-206.623,-212.686,¡À 0.056,kJ/mol,79.90455 ¡À,,79.90455 ¡À,0.001
,,,,,,,0.001,,,
Hypobromous acid,HOBr (g),,-51.63,-62.11,¡À 0.47,kJ/mol,96.9113 ¡À,,96.9113 ¡À,0.001
,,,,,,,0.001,,,
Vinyl,CH2CH (g),,301.13,296.93,¡À 0.34,kJ/mol,27.0452 ¡À,,27.0452 ¡À,0.0016
,,,,,,,0.0016,,,
Methoxy,CH3O (g),,28.85,21.48,¡À 0.29,kJ/mol,31.03392 ¡À,,31.03392 ¡À,0.00088
,,,,,,,0.00088,,,
Acetic acid,"CH3C(O)OH (g, syn)",,-418.88,-433,¡À 0.43,kJ/mol,60.0520 ¡À,,60.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Chlorooxidanyl,ClO (g),,101.125,101.716,¡À 0.035,kJ/mol,51.45210 ¡À,,51.45210 ¡À,0.00095
,,,,,,,0.00095,,,
Methylamine,CH3NH2 (g),,-7.02,-21.73,¡À 0.31,kJ/mol,31.05714 ¡À,,31.05714 ¡À,0.00088
,,,,,,,0.00088,,,
Methoxide,[CH3O]- (g),,-122.63,-130.35,¡À 0.30,kJ/mol,31.03447 ¡À,,31.03447 ¡À,0.00088
,,,,,,,0.00088,,,
Hydroxymethyl,CH2OH (g),,-10.46,-16.77,¡À 0.28,kJ/mol,31.03392 ¡À,,31.03392 ¡À,0.00088
,,,,,,,0.00088,,,
Oxomethylium,[HCO]+ (g),,827.772,827.188,¡À 0.098,kJ/mol,29.01749 ¡À,,29.01749 ¡À,0.00086
,,,,,,,0.00086,,,
Allene,CH2CCH2 (g),,197.34,189.86,¡À 0.25,kJ/mol,40.0639 ¡À,,40.0639 ¡À,0.0024
,,,,,,,0.0024,,,
"1,3-Butadiene",CH2CHCHCH2 (g),,125.31,110.83,¡À 0.37,kJ/mol,54.0904 ¡À,,54.0904 ¡À,0.0032
,,,,,,,0.0032,,,
Imidogen,NH (g),,358.75,358.79,¡À 0.17,kJ/mol,15.014680 ¡À,,15.014680 ¡À,0.000099
,,,,,,,0.000099,,,
Nitrilomethyl,CN (g),,436.73,440.01,¡À 0.15,kJ/mol,26.01744 ¡À,,26.01744 ¡À,0.0008
,,,,,,,0.0008,,,
Dioxymethyl,CH2OO (g),,111.88,104.87,¡À 0.63,kJ/mol,46.0254 ¡À,,46.0254 ¡À,0.001
,,,,,,,0.001,,,
Difluorophosgene,CF2O (g),,-603.38,-606.48,¡À 0.41,kJ/mol,66.00691 ¡À,,66.00691 ¡À,0.00085
,,,,,,,0.00085,,,
Phenyl,C6H5 (g),,350.24,336.88,¡À 0.54,kJ/mol,77.1039 ¡À,,77.1039 ¡À,0.0048
,,,,,,,0.0048,,,
Nitric acid,HON(O)O (g),,-124.5,-134.21,¡À 0.18,kJ/mol,63.01288 ¡À,,63.01288 ¡À,0.00091
,,,,,,,0.00091,,,
Formyl,HCO (g),,41.396,41.773,¡À 0.098,kJ/mol,29.01804 ¡À,,29.01804 ¡À,0.00086
,,,,,,,0.00086,,,
Allyl,CH2CHCH2 (g),,180.03,168.31,¡À 0.45,kJ/mol,41.0718 ¡À,,41.0718 ¡À,0.0024
,,,,,,,0.0024,,,
Iodide,I- (g),,-187.995,-188.396,¡À 0.0021,kJ/mol,126.905019 ¡À,,126.905019 ¡À,0.00003
,,,,,,,0.00003,,,
Cyanogen chloride,ClCN (g),,134.94,135.64,¡À 0.46,kJ/mol,61.4701 ¡À,,61.4701 ¡À,0.0012
,,,,,,,0.0012,,,
iso-Butane,CH(CH3)3 (g),,-106.04,-134.64,¡À 0.31,kJ/mol,58.1222 ¡À,,58.1222 ¡À,0.0033
,,,,,,,0.0033,,,
Methylium,[CH3]+ (g),,1099.34,1095.396,¡À 0.057,kJ/mol,15.03397 ¡À,,15.03397 ¡À,0.00083
,,,,,,,0.00083,,,
Hypofluorous acid,HOF (g),,-84.39,-87.29,¡À 0.19,kJ/mol,36.00574 ¡À,,36.00574 ¡À,0.00031
,,,,,,,0.00031,,,
Hydrogen chloride,"HCl (aq, 600 H2O)",,,-166.452,¡À 0.024,kJ/mol,36.46064 ¡À,,36.46064 ¡À,0.0009
,,,,,,,0.0009,,,
Propargyl,CH2CCH (g),,353.97,351.38,¡À 0.37,kJ/mol,39.0559 ¡À,,39.0559 ¡À,0.0024
,,,,,,,0.0024,,,
Dichloromethane,CH2Cl2 (g),,-87.13,-93.99,¡À 0.50,kJ/mol,84.9320 ¡À,,84.9320 ¡À,0.002
,,,,,,,0.002,,,
Vinyl chloride,CH2CHCl (g),,29.26,21.67,¡À 0.30,kJ/mol,62.4979 ¡À,,62.4979 ¡À,0.0018
,,,,,,,0.0018,,,
Cyanogen bromide,BrCN (g),,186.7,180.2,¡À 1.1,kJ/mol,105.9214 ¡À,,105.9214 ¡À,0.0013
,,,,,,,0.0013,,,
Iodomethane,CH3I (g),,24.5,14.97,¡À 0.18,kJ/mol,141.93899 ¡À,,141.93899 ¡À,0.00083
,,,,,,,0.00083,,,
Trihydrogen cation,[H3]+ (g),,1110.304,1106.696,¡À 0.013,kJ/mol,3.02327 ¡À,,3.02327 ¡À,0.00021
,,,,,,,0.00021,,,
Oxygen atom anion,O- (g),,105.868,108.097,¡À 0.0021,kJ/mol,15.99995 ¡À,,15.99995 ¡À,0.0003
,,,,,,,0.0003,,,
Ethoxide,[CH3CH2O]- (g),,-163.65,-178.59,¡À 0.49,kJ/mol,45.0610 ¡À,,45.0610 ¡À,0.0017
,,,,,,,0.0017,,,
Amidogen,NH2 (g),,188.92,186.03,¡À 0.11,kJ/mol,16.02262 ¡À,,16.02262 ¡À,0.00016
,,,,,,,0.00016,,,
n-Propyl,CH3CH2CH2 (g),,118.34,100.94,¡À 0.55,kJ/mol,43.0877 ¡À,,43.0877 ¡À,0.0024
,,,,,,,0.0024,,,
iso-Propyl,CH3CHCH3 (g),,105.32,88.45,¡À 0.53,kJ/mol,43.0877 ¡À,,43.0877 ¡À,0.0024
,,,,,,,0.0024,,,
2-Hydroxyethyl,"CH2CH2OH (g, gauche-syn)",,-13.06,-26.32,¡À 0.61,kJ/mol,45.0605 ¡À,,45.0605 ¡À,0.0017
,,,,,,,0.0017,,,
Tetrabromomethane,CBr4 (g),,132.9,103.2,¡À 1.3,kJ/mol,331.6267 ¡À,,331.6267 ¡À,0.0041
,,,,,,,0.0041,,,
Difluoromethane,CH2F2 (g),,-443.02,-450.63,¡À 0.35,kJ/mol,52.02339 ¡À,,52.02339 ¡À,0.00081
,,,,,,,0.00081,,,
Oxygen difluoride,FOF (g),,26.81,24.56,¡À 0.24,kJ/mol,53.99621 ¡À,,53.99621 ¡À,0.0003
,,,,,,,0.0003,,,
Hypochlorite,[ClO]- (g),,-118.6,-118.33,¡À 0.13,kJ/mol,51.45265 ¡À,,51.45265 ¡À,0.00095
,,,,,,,0.00095,,,
Methyl hydroperoxide,CH3OOH (g),,-115.11,-127.93,¡À 0.72,kJ/mol,48.0413 ¡À,,48.0413 ¡À,0.001
,,,,,,,0.001,,,
Methylperoxy,CH3OO (g),,22.23,12.59,¡À 0.48,kJ/mol,47.0333 ¡À,,47.0333 ¡À,0.001
,,,,,,,0.001,,,
Propynylidene,"HCCCH (g, triplet)",,543.41,546.4,¡À 0.64,kJ/mol,38.0480 ¡À,,38.0480 ¡À,0.0024
,,,,,,,0.0024,,,
Ethenol,"CH2CHOH (g, syn)",,-112.73,-123.93,¡À 0.66,kJ/mol,44.0526 ¡À,,44.0526 ¡À,0.0017
,,,,,,,0.0017,,,
Chloroform,CHCl3 (g),,-97.5,-102.41,¡À 0.52,kJ/mol,119.3767 ¡À,,119.3767 ¡À,0.0028
,,,,,,,0.0028,,,
Oxygen atom cation,O+ (g),,1560.786,1562.644,¡À 0.0021,kJ/mol,15.99885 ¡À,,15.99885 ¡À,0.0003
,,,,,,,0.0003,,,
"1,2-Propadiene-1,3-diylidene",CCC (g),,814.67,823.62,¡À 0.55,kJ/mol,36.0321 ¡À,,36.0321 ¡À,0.0024
,,,,,,,0.0024,,,
Acetonitrile,CH3CN (g),,81.11,74.06,¡À 0.26,kJ/mol,41.0520 ¡À,,41.0520 ¡À,0.0016
,,,,,,,0.0016,,,
Cyanic fluoride,FCN (g),,8.79,9.12,¡À 0.71,kJ/mol,45.01584 ¡À,,45.01584 ¡À,0.0008
,,,,,,,0.0008,,,
1-Hydroxyethyl,"CH3CHOH (g, gauche-anti)",,-42.28,-55.71,¡À 0.65,kJ/mol,45.0605 ¡À,,45.0605 ¡À,0.0017
,,,,,,,0.0017,,,
Hydroxyformyl,"HOCO (g, trans)",,-181.2,-184.17,¡À 0.50,kJ/mol,45.0174 ¡À,,45.0174 ¡À,0.001
,,,,,,,0.001,,,
Formate,[HC(O)O]- (g),,-463.16,-466.8,¡À 0.56,kJ/mol,45.0180 ¡À,,45.0180 ¡À,0.001
,,,,,,,0.001,,,
Methyl formate,"HC(O)OCH3 (g, syn)",,-346.78,-359.83,¡À 0.87,kJ/mol,60.0520 ¡À,,60.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Tetrafluoroethylene,CF2CF2 (g),,-671.2,-674.6,¡À 0.55,kJ/mol,100.0150 ¡À,,100.0150 ¡À,0.0016
,,,,,,,0.0016,,,
Fluoromethylidyne,CF (g),,243.15,246.75,¡À 0.13,kJ/mol,31.00910 ¡À,,31.00910 ¡À,0.0008
,,,,,,,0.0008,,,
Ethyl bromide,CH3CH2Br (g),,-41.4,-63.35,¡À 0.25,kJ/mol,108.9651 ¡À,,108.9651 ¡À,0.0019
,,,,,,,0.0019,,,
Vinyl bromide,CH2CHBr (g),,88.56,73.76,¡À 0.58,kJ/mol,106.9492 ¡À,,106.9492 ¡À,0.0019
,,,,,,,0.0019,,,
Chlorine fluoride,ClF (g),,-55.62,-55.715,¡À 0.055,kJ/mol,54.45110 ¡À,,54.45110 ¡À,0.0009
,,,,,,,0.0009,,,
Diazynium,[NNH]+ (g),,1042.54,1038.93,¡À 0.68,kJ/mol,29.02087 ¡À,,29.02087 ¡À,0.00016
,,,,,,,0.00016,,,
Methanimine,CH2NH (g),,96.25,88.34,¡À 0.62,kJ/mol,29.04126 ¡À,,29.04126 ¡À,0.00083
,,,,,,,0.00083,,,
Nitrite,[ONO]- (g),,-182.63,-185.44,¡À 0.46,kJ/mol,46.00609 ¡À,,46.00609 ¡À,0.0006
,,,,,,,0.0006,,,
Hydroxylamine,"NH2OH (g, trans)",,-33.23,-43.61,¡À 0.46,kJ/mol,33.02996 ¡À,,33.02996 ¡À,0.00037
,,,,,,,0.00037,,,
Nitrosyl hydride,HNO (g),,109.93,106.96,¡À 0.11,kJ/mol,31.01408 ¡À,,31.01408 ¡À,0.00032
,,,,,,,0.00032,,,
Nitrous acid,"HONO (g, trans)",,-73.005,-79.149,¡À 0.079,kJ/mol,47.01348 ¡À,,47.01348 ¡À,0.00061
,,,,,,,0.00061,,,
Ethynylene,C2 (g),,820.28,828.75,¡À 0.26,kJ/mol,24.0214 ¡À,,24.0214 ¡À,0.0016
,,,,,,,0.0016,,,
Hydride,H- (g),,143.264,145.228,¡À 0.000,kJ/mol,1.008489 ¡À,,1.008489 ¡À,0.00007
,,,,,,,0.00007,,,
n-Butyl,CH3CH2CH2CH2 (g),,102.74,80.23,¡À 0.70,kJ/mol,57.1143 ¡À,,57.1143 ¡À,0.0033
,,,,,,,0.0033,,,
Cyclopentadiene,CH2(CHCHCHCH) (g),,150.83,133.71,¡À 0.66,kJ/mol,66.1011 ¡À,,66.1011 ¡À,0.004
,,,,,,,0.004,,,
Methoxymethane,CH3OCH3 (g),,-166.38,-183.89,¡À 0.41,kJ/mol,46.0684 ¡À,,46.0684 ¡À,0.0017
,,,,,,,0.0017,,,
Isocyanic acid,HNCO (g),,-115.85,-118.84,¡À 0.31,kJ/mol,43.02478 ¡À,,43.02478 ¡À,0.00086
,,,,,,,0.00086,,,
Methyl acetate,"CH3C(O)OCH3 (g, syn)",,-394.28,-413.15,¡À 0.61,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
Phosgene,CCl2O (g),,-217.45,-219.14,¡À 0.27,kJ/mol,98.9155 ¡À,,98.9155 ¡À,0.002
,,,,,,,0.002,,,
Phenylium,[C6H5]+ (g),,1148.46,1135.68,¡À 0.87,kJ/mol,77.1034 ¡À,,77.1034 ¡À,0.0048
,,,,,,,0.0048,,,
Fluorooxidanyl,FO (g),,110.27,110.89,¡À 0.15,kJ/mol,34.99780 ¡À,,34.99780 ¡À,0.0003
,,,,,,,0.0003,,,
Hypoiodous acid,HOI (g),,-54.2,-58.9,¡À 3.1,kJ/mol,143.91181 ¡À,,143.91181 ¡À,0.00031
,,,,,,,0.00031,,,
Methanium,[CH5]+ (g),,921.95,911.7,¡À 0.45,kJ/mol,17.04985 ¡À,,17.04985 ¡À,0.00087
,,,,,,,0.00087,,,
Oxirane,O(CH2CH2) (g),,-40.06,-52.6,¡À 0.38,kJ/mol,44.0526 ¡À,,44.0526 ¡À,0.0017
,,,,,,,0.0017,,,
Ethynide,[CCH]- (g),,277.41,280.82,¡À 0.18,kJ/mol,25.0299 ¡À,,25.0299 ¡À,0.0016
,,,,,,,0.0016,,,
cis-2-Butene,"CH3CHCHCH3 (g, cis)",,14.19,-7.08,¡À 0.41,kJ/mol,56.1063 ¡À,,56.1063 ¡À,0.0032
,,,,,,,0.0032,,,
Formic acid,"HC(O)OH (g, anti)",,-354.76,-361.86,¡À 0.38,kJ/mol,46.0254 ¡À,,46.0254 ¡À,0.001
,,,,,,,0.001,,,
Methanetetraylbisamidogen,NCN (g),,450.42,450.83,¡À 0.64,kJ/mol,40.02418 ¡À,,40.02418 ¡À,0.00081
,,,,,,,0.00081,,,
Fluoroethane,CH3CH2F (g),,-257.23,-272.09,¡À 0.36,kJ/mol,48.0595 ¡À,,48.0595 ¡À,0.0016
,,,,,,,0.0016,,,
Chlorotrifluoromethane,CF3Cl (g),,-704.86,-709.97,¡À 0.71,kJ/mol,104.4586 ¡À,,104.4586 ¡À,0.0012
,,,,,,,0.0012,,,
Bromotrifluoromethane,CF3Br (g),,-639.16,-651.28,¡À 0.47,kJ/mol,148.9099 ¡À,,148.9099 ¡À,0.0013
,,,,,,,0.0013,,,
Fluorobenzene,C6H5F (g),,-99.08,-114.76,¡À 0.89,kJ/mol,96.1023 ¡À,,96.1023 ¡À,0.0048
,,,,,,,0.0048,,,
Nitromethane,CH3N(O)O (g),,-60.84,-74.74,¡À 0.46,kJ/mol,61.0401 ¡À,,61.0401 ¡À,0.001
,,,,,,,0.001,,,
Chlorine dioxide,OClO (g),,101.33,98.86,¡À 0.27,kJ/mol,67.4515 ¡À,,67.4515 ¡À,0.0011
,,,,,,,0.0011,,,
Dioxygen cation,[O2]+ (g),,1164.585,1165.221,¡À 0.0092,kJ/mol,31.99825 ¡À,,31.99825 ¡À,0.0006
,,,,,,,0.0006,,,
Methylidyne,"CH (g, quartet)",,664.55,667.89,¡À 0.59,kJ/mol,13.01864 ¡À,,13.01864 ¡À,0.0008
,,,,,,,0.0008,,,
Ethanide,[CH3CH2]- (g),,155.31,144.23,¡À 0.89,kJ/mol,29.0616 ¡À,,29.0616 ¡À,0.0016
,,,,,,,0.0016,,,
Ethynyl,CCH (g),,563.86,567.98,¡À 0.14,kJ/mol,25.0293 ¡À,,25.0293 ¡À,0.0016
,,,,,,,0.0016,,,
